profile,type,state,time,price,source
baseload,Energy,NSW,1/01/2022,183,actual
baseload,Energy,VIC,1/01/2022,134,actual
baseload,Energy,QLD,1/01/2022,205,actual
baseload,Energy,SA,1/01/2022,156,actual
solar,Energy,NSW,1/01/2022,107,actual
solar,Energy,VIC,1/01/2022,57,actual
solar,Energy,QLD,1/01/2022,98,actual
solar,Energy,SA,1/01/2022,57,actual
solar,green,NSW,1/01/2022,48,actual
solar,green,VIC,1/01/2022,48,actual
solar,green,QLD,1/01/2022,48,actual
solar,green,SA,1/01/2022,48,actual
wind,Energy,NSW,1/01/2022,182,actual
wind,Energy,VIC,1/01/2022,110,actual
wind,Energy,QLD,1/01/2022,196,actual
wind,Energy,SA,1/01/2022,114,actual
wind,green,NSW,1/01/2022,48,actual
wind,green,VIC,1/01/2022,48,actual
wind,green,QLD,1/01/2022,48,actual
wind,green,SA,1/01/2022,48,actual
baseload,Energy,NSW,1/01/2023,96,actual
baseload,Energy,VIC,1/01/2023,55,actual
baseload,Energy,QLD,1/01/2023,91,actual
baseload,Energy,SA,1/01/2023,80,actual
solar,Energy,NSW,1/01/2023,50,actual
solar,Energy,VIC,1/01/2023,1,actual
solar,Energy,QLD,1/01/2023,27,actual
solar,Energy,SA,1/01/2023,7,actual
solar,green,NSW,1/01/2023,53,actual
solar,green,VIC,1/01/2023,53,actual
solar,green,QLD,1/01/2023,53,actual
solar,green,SA,1/01/2023,53,actual
wind,Energy,NSW,1/01/2023,88,actual
wind,Energy,VIC,1/01/2023,35,actual
wind,Energy,QLD,1/01/2023,87,actual
wind,Energy,SA,1/01/2023,49,actual
wind,green,NSW,1/01/2023,53,actual
wind,green,VIC,1/01/2023,53,actual
wind,green,QLD,1/01/2023,53,actual
wind,green,SA,1/01/2023,53,actual
baseload,Energy,NSW,1/01/2024,100,forecast
baseload,Energy,VIC,1/01/2024,81,forecast
baseload,Energy,QLD,1/01/2024,100,forecast
baseload,Energy,SA,1/01/2024,82,forecast
solar,Energy,NSW,1/01/2024,52,forecast
solar,Energy,VIC,1/01/2024,44,forecast
solar,Energy,QLD,1/01/2024,51,forecast
solar,Energy,SA,1/01/2024,36,forecast
solar,green,NSW,1/01/2024,36,forecast
solar,green,VIC,1/01/2024,36,forecast
solar,green,QLD,1/01/2024,36,forecast
solar,green,SA,1/01/2024,36,forecast
wind,Energy,NSW,1/01/2024,101,forecast
wind,Energy,VIC,1/01/2024,55,forecast
wind,Energy,QLD,1/01/2024,106,forecast
wind,Energy,SA,1/01/2024,52,forecast
wind,green,NSW,1/01/2024,36,forecast
wind,green,VIC,1/01/2024,36,forecast
wind,green,QLD,1/01/2024,36,forecast
wind,green,SA,1/01/2024,36,forecast
baseload,Energy,NSW,1/01/2025,101,forecast
baseload,Energy,VIC,1/01/2025,82,forecast
baseload,Energy,QLD,1/01/2025,101,forecast
baseload,Energy,SA,1/01/2025,83,forecast
solar,Energy,NSW,1/01/2025,52,forecast
solar,Energy,VIC,1/01/2025,44,forecast
solar,Energy,QLD,1/01/2025,51,forecast
solar,Energy,SA,1/01/2025,37,forecast
solar,green,NSW,1/01/2025,35,forecast
