Region,ContracType,FY,CY,Month,Interval_date,period_30,Scenario,price_real_$,base_dwp,solar_dwp,wind_dwp
NSW,Energy,2025,2024,7,1/07/2024,all,Central,126.86,100%,52%,100%
NSW,Energy,2025,2024,8,1/08/2024,all,Central,120.72,100%,65%,106%
NSW,Energy,2025,2024,9,1/09/2024,all,Central,102.02,100%,61%,121%
NSW,Energy,2025,2024,10,1/10/2024,all,Central,102.63,100%,66%,115%
NSW,Energy,2025,2024,11,1/11/2024,all,Central,91.98,100%,76%,120%
NSW,Energy,2025,2024,12,1/12/2024,all,Central,92.27,100%,78%,119%
NSW,Energy,2025,2025,1,1/01/2025,all,Central,84.82,100%,74%,109%
NSW,Energy,2025,2025,2,1/02/2025,all,Central,93.57,100%,63%,109%
NSW,Energy,2025,2025,3,1/03/2025,all,Central,126.69,100%,66%,97%
NSW,Energy,2025,2025,4,1/04/2025,all,Central,87.92,100%,71%,124%
NSW,Energy,2025,2025,5,1/05/2025,all,Central,92.12,100%,65%,123%
NSW,Energy,2025,2025,6,1/06/2025,all,Central,137.32,100%,62%,95%
NSW,Energy,2026,2025,7,1/07/2025,all,Central,174.93,100%,41%,93%
NSW,Energy,2026,2025,8,1/08/2025,all,Central,144.95,100%,54%,98%
NSW,Energy,2026,2025,9,1/09/2025,all,Central,100.83,100%,56%,121%
NSW,Energy,2026,2025,10,1/10/2025,all,Central,106.22,100%,58%,114%
NSW,Energy,2026,2025,11,1/11/2025,all,Central,86.57,100%,67%,117%
NSW,Energy,2026,2025,12,1/12/2025,all,Central,90.07,100%,73%,118%
NSW,Energy,2026,2026,1,1/01/2026,all,Central,98.57,100%,68%,102%
NSW,Energy,2026,2026,2,1/02/2026,all,Central,87.45,100%,65%,108%
NSW,Energy,2026,2026,3,1/03/2026,all,Central,112.16,100%,78%,105%
NSW,Energy,2026,2026,4,1/04/2026,all,Central,90.58,100%,69%,118%
NSW,Energy,2026,2026,5,1/05/2026,all,Central,93.07,100%,60%,115%
NSW,Energy,2026,2026,6,1/06/2026,all,Central,149.75,100%,56%,97%
NSW,Energy,2027,2026,7,1/07/2026,all,Central,118.89,100%,58%,94%
NSW,Energy,2027,2026,8,1/08/2026,all,Central,113.4,100%,63%,97%
NSW,Energy,2027,2026,9,1/09/2026,all,Central,97.93,100%,48%,102%
NSW,Energy,2027,2026,10,1/10/2026,all,Central,81.34,100%,61%,102%
NSW,Energy,2027,2026,11,1/11/2026,all,Central,76.12,100%,68%,113%
NSW,Energy,2027,2026,12,1/12/2026,all,Central,84.39,100%,77%,111%
NSW,Energy,2027,2027,1,1/01/2027,all,Central,71.25,100%,72%,105%
NSW,Energy,2027,2027,2,1/02/2027,all,Central,73.51,100%,67%,106%
NSW,Energy,2027,2027,3,1/03/2027,all,Central,99.59,100%,71%,96%
NSW,Energy,2027,2027,4,1/04/2027,all,Central,82.62,100%,74%,118%
NSW,Energy,2027,2027,5,1/05/2027,all,Central,84.39,100%,55%,107%
NSW,Energy,2027,2027,6,1/06/2027,all,Central,151.22,100%,57%,88%
NSW,Energy,2028,2027,7,1/07/2027,all,Central,125.75,100%,61%,98%
NSW,Energy,2028,2027,8,1/08/2027,all,Central,122.36,100%,65%,98%
NSW,Energy,2028,2027,9,1/09/2027,all,Central,96.64,100%,60%,105%
NSW,Energy,2028,2027,10,1/10/2027,all,Central,81.48,100%,66%,103%
NSW,Energy,2028,2027,11,1/11/2027,all,Central,76.03,100%,71%,107%
NSW,Energy,2028,2027,12,1/12/2027,all,Central,77.54,100%,73%,105%
