DUID,Station Name,Region,Dispatch Type,Fuel Source - Primary,Reg Cap generation (MW),2024-25 MLF,2023-24 MLF,StartDate
ADPPV1,Adelaide Desalination Plant,SA1,Generating Unit,Solar,24.75,1.0025,1.0039,1/05/2022
ADPPV2,Adelaide Desalination Plant,SA1,Generating Unit,Solar,0.2,1.0025,1.0039,1/07/2022
ADPPV3,Adelaide Desalination Plant,SA1,Generating Unit,Solar,0.02,1.0025,1.0039,1/12/2022
ARWF1,Ararat Wind Farm,VIC1,Generating Unit,Wind,241.59,0.8856,0.8899,
AVLSF1,Avonlie Solar Farm,NSW1,Generating Unit,Solar,254.1,0.8446,0.8881,1/11/2023
BAKING1,Baking Board Solar Farm,QLD1,Generating Unit,Solar,17,0.9442,0.9598,1/09/2018
BALDHWF1,Bald Hills Wind Farm,VIC1,Generating Unit,Wind,106.6,0.9848,0.9825,
BANGOWF1,Bango 973 Wind Farm,NSW1,Generating Unit,Wind,159,0.9047,0.9159,1/09/2022
BANGOWF2,Bango 999 Wind Farm,NSW1,Generating Unit,Wind,84.8,0.9182,0.9288,1/09/2022
BANN1,Bannerton Solar Park,VIC1,Generating Unit,Solar,100,0.8584,0.8947,1/06/2019
BARCSF1,Barcaldine Solar Farm,QLD1,Generating Unit,Solar,20,0.937,0.915,
BRYB2WF2,Berrybank 2 Wind Farm,VIC1,Generating Unit,Wind,109,0.9315,0.9397,1/08/2022
BRYB1WF1,Berrybank Wind Farm,VIC1,Generating Unit,Wind,180.6,0.9315,0.9397,1/04/2021
BERYLSF1,Beryl Solar Farm,NSW1,Generating Unit,Solar,98,0.9182,0.9339,1/05/2019
BLUEGSF1,Blue Grass Solar Farm,QLD1,Generating Unit,Solar,183,0.9433,0.9546,1/06/2023
BOCORWF1,Boco Rock Wind Farm,NSW1,Generating Unit,Wind,113.18,0.9344,0.9444,
BODWF1,Bodangora Wind Farm ,NSW1,Generating Unit,Wind,113.19,0.9518,0.9622,1/02/2019
BOWWPV1,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Solar,8.25,1.0004,0.9995,1/10/2022
BOMENSF1,Bomen Solar Farm,NSW1,Generating Unit,Solar,121,0.8719,0.911,1/11/2020
BROKENH1,Broken Hill Solar Plant,NSW1,Generating Unit,Solar,53.76,0.7784,0.8324,
BULGANA1,Bulgana Green Power Hub,VIC1,Generating Unit,Wind,204,0.8733,0.8821,1/11/2021
BNGSF1,Bungala One Solar Farm,SA1,Generating Unit,Solar,135,0.9565,0.9601,1/12/2018
BNGSF2,Bungala Two Solar Farm,SA1,Generating Unit,Solar,135,0.9565,0.9601,1/09/2021
CNUNDAWF,Canunda Wind Farm,SA1,Generating Unit,Wind,46,0.9755,0.9671,
CESF1,Capital East Solar Farm,NSW1,Generating Unit,Solar,0.205,0.9751,0.9867,
CAPTL_WF,Capital Wind Farm,NSW1,Generating Unit,Wind,140,0.9467,0.9575,
CATHROCK,Cathedral Rocks,SA1,Generating Unit,Wind,66,0.9309,0.9319,
CTHLWF1,Cattle Hill Wind Farm,TAS1,Generating Unit,Wind,148,0.9908,0.9836,1/02/2021
CHALLHWF,Challicum Hills Wind Farm,VIC1,Generating Unit,Wind,52.5,0.9718,0.9759,
CHPSTWF1,Chepstowe Wind Farm,VIC1,Generating Unit,Wind,6.15,0.9718,0.9759,1/03/2015
CHYTWF1,Cherry Tree Wind Farm,VIC1,Generating Unit,Wind,57.6,0.9976,0.9974,1/07/2020
CHILDSF1,Childers Solar Farm,QLD1,Generating Unit,Solar,64.38,0.9828,0.9704,1/06/2019
CBWWPV1,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Solar,2.75,1.0025,1.0039,1/10/2022
CBWWPV2,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Solar,1.08,1.0025,1.0039,
CLARESF1,Clare Solar Farm,QLD1,Generating Unit,Solar,110.262,0.9116,0.8981,
CLRKCWF1,Clarke Creek Wind Farm,QLD1,Generating Unit,Wind,171,0.9497,,1/09/2025
CLEMGPWF,Clements Gap Wind Farm,SA1,Generating Unit,Wind,57,0.9486,0.9522,
CLERMSF1,Clermont Solar Farm,QLD1,Generating Unit,Solar,92.5,0.937,0.915,1/03/2019
CODRNGTON,Codrington Wind Farm,VIC1,Generating Unit,Wind,18.2,0.9993,0.9933,
COHUNSF1,Cohuna Solar Farm,VIC1,Generating Unit,Solar,31,0.8962,0.9413,
COLEASF1,Coleambally Solar Farm,NSW1,Generating Unit,Solar,180,0.8367,0.8894,
COLWF01,Collector Wind Farm 1,NSW1,Generating Unit,Wind,226,0.9495,0.9576,1/12/2020
CSPVPS1,Collinsville Solar PV Power Station,QLD1,Generating Unit,Solar,42,0.9356,0.9132,1/08/2018
COLUMSF1,Columboola Solar Farm,QLD1,Generating Unit,Solar,217,0.9718,0.9746,1/10/2023
CBWF1,Coonooer Bridge Wind Farm,VIC1,Generating Unit,Wind,19.8,1.0072,1.0165,
COOPGWF1,Coopers Gap Wind Farm,QLD1,Generating Unit,Wind,452,0.9672,0.9658,1/04/2022
CRWASF1,Corowa Solar Farm,NSW1,Generating Unit,Solar,36,0.8979,0.9365,1/09/2021
